"source_file","source_path","script","dataset","model","qaw_ratio","sample_idx","chunk_num","method_key","method","f1","total_s","ttft_s","recomputed_tokens","true_recompute","dataset_label","dataset_score_label","model_label","qaw_ratio_label"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,42,10,"full_prefill","Full Prefill",0,1.3213386970001,0.399360720000914,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,43,10,"full_reuse","Full Reuse",0,0.866930860000139,0.247436170000583,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,43,10,"query_aware","Query-Aware",0,1.34755480900094,0.427875441000651,3373,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,43,10,"full_prefill","Full Prefill",0,1.25159611899835,0.341014874999019,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,44,10,"full_reuse","Full Reuse",0.4,0.761840187000416,0.25896515400018,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,44,10,"query_aware","Query-Aware",0.285714285714286,0.574760161998711,0.427581309999368,3432,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,44,10,"full_prefill","Full Prefill",0.333333333333333,0.468084623000323,0.344634409999344,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,45,10,"full_reuse","Full Reuse",0.375,0.418080833000204,0.245260829000472,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,45,10,"query_aware","Query-Aware",0.25,1.3382701520004,0.424548957000297,3378,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,45,10,"full_prefill","Full Prefill",0.333333333333333,0.544778781000787,0.342247344000498,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,46,10,"full_reuse","Full Reuse",0.25,0.423787374000312,0.248592179999832,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,46,10,"query_aware","Query-Aware",0.25,0.626951282998562,0.452892638999401,3525,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,46,10,"full_prefill","Full Prefill",0.25,0.504287195999495,0.355518935999498,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,47,10,"full_reuse","Full Reuse",0.25,0.422693556000013,0.248092574998736,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,47,10,"query_aware","Query-Aware",0.25,1.36579568500019,0.453385363998677,3568,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,47,10,"full_prefill","Full Prefill",0.25,0.535712276001505,0.359020872001565,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,48,10,"full_reuse","Full Reuse",0,0.842315506999512,0.264167684999848,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,48,10,"query_aware","Query-Aware",0,1.36116430999937,0.451320223999573,3558,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,48,10,"full_prefill","Full Prefill",0,0.481968251999206,0.354709138999169,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,49,10,"full_reuse","Full Reuse",0,0.782383314999606,0.2475616669999,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,49,10,"query_aware","Query-Aware",0,1.38380931400025,0.45505332600078,3476,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,49,10,"full_prefill","Full Prefill",0,0.550853099999586,0.346624445000998,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,50,10,"full_reuse","Full Reuse",0,1.15891256400027,0.247537674000341,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,50,10,"query_aware","Query-Aware",0,1.36989952900149,0.459572236000895,3615,TRUE,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
"202604212222_musique.output","/Users/doppler/Documents/Github/CacheBlend/outputs/202604212222_musique.output","example/blend_musique.py","musique","Qwen2.5-1.5B",0.6,50,10,"full_prefill","Full Prefill",0,1.27058019600008,0.360881661999883,NA,NA,"Musique","Musique (F1)","Qwen2.5-1.5B","0.60"
